Date : 2025-12-24 22:03:28
Directory : /home/ysy/code/Os_wrtie
Total : 68 files,  4011 codes, 450 comments, 913 blanks, all 5374 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C              |         36 |      2,961 |        357 |        618 |      3,936 |
| Assembler file |          8 |        589 |          0 |        153 |        742 |
| C++            |         15 |        283 |         10 |         93 |        386 |
| Makefile       |          2 |        136 |         13 |         28 |        177 |
| Ini            |          1 |         26 |          0 |          1 |         27 |
| Properties     |          4 |         10 |         70 |         14 |         94 |
| Log            |          2 |          6 |          0 |          6 |         12 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                        |         68 |      4,011 |        450 |        913 |      5,374 |
| bochs                                                    |          2 |          0 |         70 |         12 |         82 |
| bochs/share                                              |          2 |          0 |         70 |         12 |         82 |
| bochs/share/doc                                          |          2 |          0 |         70 |         12 |         82 |
| bochs/share/doc/bochs                                    |          2 |          0 |         70 |         12 |         82 |
| build                                                    |          3 |         11 |          0 |          7 |         18 |
| build (Files)                                            |          2 |          6 |          0 |          6 |         12 |
| build/iso                                                |          1 |          5 |          0 |          1 |          6 |
| build/iso/boot                                           |          1 |          5 |          0 |          1 |          6 |
| build/iso/boot/grub                                      |          1 |          5 |          0 |          1 |          6 |
| src                                                      |         58 |      3,903 |        372 |        873 |      5,148 |
| src (Files)                                              |          2 |        148 |          5 |         25 |        178 |
| src/boot                                                 |          2 |        256 |          0 |         70 |        326 |
| src/include                                              |         24 |        536 |         49 |        161 |        746 |
| src/include/onix                                         |         24 |        536 |         49 |        161 |        746 |
| src/kernel                                               |         21 |      2,190 |        206 |        471 |      2,867 |
| src/lib                                                  |          8 |        768 |        112 |        145 |      1,025 |
| src/utils                                                |          1 |          5 |          0 |          1 |          6 |
| test                                                     |          5 |         97 |          8 |         21 |        126 |
